1.000000,0.000000,0.447214,0.894427
1.044721,0.089443,0.493485,0.869754
1.094070,0.176418,0.527807,0.849365
1.146851,0.261355,0.553394,0.832920
1.202190,0.344647,0.572562,0.819861
1.259446,0.426633,0.586986,0.809597
1.318145,0.507592,0.597881,0.801585
1.377933,0.587751,0.606141,0.795358
1.438547,0.667287,0.612421,0.790532
1.499789,0.746340,0.617210,0.786798
1.561510,0.825020,0.620872,0.783912
1.623597,0.903411,0.623679,0.781681
1.685965,0.981579,0.625835,0.779955
1.748549,1.059575,0.627496,0.778620
1.811298,1.137436,0.628779,0.777584
1.874176,1.215195,0.629773,0.776779
1.937153,1.292873,0.630545,0.776153
2.000208,1.370488,0.631147,0.775664
2.063323,1.448054,0.631617,0.775280
2.126484,1.525582,0.631987,0.774979
2.189683,1.603080,0.632280,0.774740
2.252911,1.680554,0.632512,0.774551
2.316162,1.758009,0.632698,0.774399
2.379432,1.835449,0.632848,0.774276
2.442717,1.912877,0.632970,0.774176
2.506014,1.990295,0.633071,0.774093
2.569321,2.067704,0.633157,0.774024
2.632637,2.145106,0.633230,0.773964
2.695960,2.222503,0.633295,0.773910
2.759289,2.299894,0.633357,0.773860
2.822625,2.377280,0.633419,0.773809
2.885967,2.454661,0.633494,0.773748
2.949316,2.532035,0.633648,0.773622
2.955210,2.539097,0.633594,0.773666
3.018570,2.616464,0.633504,0.773739
3.081920,2.693838,0.633450,0.773783
3.145265,2.771216,0.633407,0.773819
3.208606,2.848598,0.633368,0.773851
3.271943,2.925983,0.633331,0.773881
3.335276,3.003371,0.633294,0.773911
3.398605,3.080762,0.633258,0.773941
3.461931,3.158156,0.633221,0.773971
3.525253,3.235554,0.633185,0.774001
3.588571,3.312954,0.633149,0.774030
3.651886,3.390357,0.633115,0.774058
3.715198,3.467762,0.633085,0.774082
3.778506,3.545171,0.633062,0.774101
3.841813,3.622581,0.633051,0.774110
3.905118,3.699992,0.633059,0.774104
3.968424,3.777402,0.633094,0.774075
4.031733,3.854810,0.633171,0.774012
4.095050,3.932211,0.633308,0.773900
4.158381,4.009601,0.633532,0.773717
4.221734,4.086972,0.633879,0.773432
4.285122,4.164316,0.634400,0.773005
4.348562,4.241616,0.635164,0.772377
4.412078,4.318854,0.636267,0.771469
4.475705,4.396001,0.637836,0.770172
4.539489,4.473018,0.640049,0.768334
4.603494,4.549851,0.643141,0.765747
4.667808,4.626426,0.647431,0.762124
4.732551,4.702639,0.653343,0.757062
4.797885,4.778345,0.661435,0.750002
4.864029,4.853345,0.672437,0.740155
4.931272,4.927360,0.687277,0.726395
5.000000,5.000000,0.707107,0.707107
